instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,solve.seed,time,resets,unused.vehi,cost,travel.time,total.tardiness,max.tardiness
HHCRSP_400_80_77_1.2_R_RC,1.2_R_RC,77,400,80,1.2,R,RC,1,51.5,0,2,1576.7,4727.0,2.0,1.0
HHCRSP_400_80_19_1.0_R_RC,1.0_R_RC,19,400,80,1.0,R,RC,1,45.8,0,12,2332.7,6956.0,36.0,6.0
HHCRSP_400_80_77_1.0_C_C,1.0_C_C,77,400,80,1.0,C,C,1,51.3,0,2,1321.0,3955.0,4.0,4.0
HHCRSP_400_80_9_1.6_R_C,1.6_R_C,9,400,80,1.6,R,C,1,43.9,1,0,1217.3,3649.0,2.0,1.0
HHCRSP_400_80_15_1.2_C_C,1.2_C_C,15,400,80,1.2,C,C,1,40.0,0,14,1371.3,4101.0,9.0,4.0
HHCRSP_400_80_43_1.6_R_RC,1.6_R_RC,43,400,80,1.6,R,RC,1,46.9,0,5,1741.0,5218.0,3.0,2.0
HHCRSP_400_80_84_0.8_C_RC,0.8_C_RC,84,400,80,0.8,C,RC,1,47.3,0,6,1930.0,5767.0,17.0,6.0
HHCRSP_400_80_2_1.0_C_RC,1.0_C_RC,2,400,80,1.0,C,RC,1,42.7,0,6,1864.7,5590.0,3.0,1.0
HHCRSP_400_80_62_0.4_R_RC,0.4_R_RC,62,400,80,0.4,R,RC,1,42.9,0,11,1993.3,5955.0,19.0,6.0
HHCRSP_400_80_74_0.8_R_C,0.8_R_C,74,400,80,0.8,R,C,1,40.9,0,6,1403.3,4186.0,18.0,6.0
HHCRSP_400_80_59_1.2_C_RC,1.2_C_RC,59,400,80,1.2,C,RC,1,44.1,0,9,1843.3,5501.0,24.0,5.0
HHCRSP_400_80_86_1.0_C_RC,1.0_C_RC,86,400,80,1.0,C,RC,1,46.6,0,7,1769.3,5294.0,11.0,3.0
HHCRSP_400_80_36_0.4_R_RC,0.4_R_RC,36,400,80,0.4,R,RC,1,40.1,0,1,1835.7,5495.0,9.0,3.0
HHCRSP_400_80_78_0.4_C_C,0.4_C_C,78,400,80,0.4,C,C,1,44.3,0,9,1808.0,5402.0,18.0,4.0
