instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,solve.iters,time,memory.mb,cost,travel.time,total.tardiness,max.tardiness
HHCRSP_10_3_80_1.0_C_C,1.0_C_C,80,10,3,1.0,C,C,62,0.001,14.1533,36.0179,108.054,0,0
HHCRSP_10_3_19_0.8_R_RC,0.8_R_RC,19,10,3,0.8,R,RC,62,0.003,14.1816,58.7253,176.176,0,0
HHCRSP_10_3_31_1.6_C_C,1.6_C_C,31,10,3,1.6,C,C,62,0.002,14.1729,33.341,100.023,0,0
HHCRSP_10_3_9_0.4_C_RC,0.4_C_RC,9,10,3,0.4,C,RC,1,0.001,14.123,67.6915,203.074,0,0
HHCRSP_10_3_53_1.2_R_RC,1.2_R_RC,53,10,3,1.2,R,RC,62,0.002,14.1885,57.0047,171.014,0,0
HHCRSP_10_3_10_1.2_R_RC,1.2_R_RC,10,10,3,1.2,R,RC,1,0.002,14.1816,43.0254,129.076,0,0
HHCRSP_10_3_91_0.8_R_RC,0.8_R_RC,91,10,3,0.8,R,RC,1,0.003,14.1836,61.6877,185.063,0,0
HHCRSP_10_3_19_1.2_C_C,1.2_C_C,19,10,3,1.2,C,C,1,0.002,14.2373,47.7058,143.117,0,0
HHCRSP_10_3_37_1.6_C_RC,1.6_C_RC,37,10,3,1.6,C,RC,1,0.002,14.1514,67.3675,202.102,0,0
HHCRSP_10_3_33_1.6_R_C,1.6_R_C,33,10,3,1.6,R,C,1,0.001,14.1152,78.0248,234.074,0,0
HHCRSP_10_3_88_0.8_R_C,0.8_R_C,88,10,3,0.8,R,C,62,0.002,14.168,25.6724,77.0172,0,0
HHCRSP_10_3_30_1.0_C_RC,1.0_C_RC,30,10,3,1.0,C,RC,1,0.002,14.2324,47.3377,142.013,0,0
HHCRSP_10_3_32_0.4_C_C,0.4_C_C,32,10,3,0.4,C,C,1,0.003,14.1807,40.0181,120.054,0,0
HHCRSP_10_3_63_1.0_R_RC,1.0_R_RC,63,10,3,1.0,R,RC,1,0.002,14.1807,62.3353,187.006,0,0
HHCRSP_10_3_42_0.8_C_RC,0.8_C_RC,42,10,3,0.8,C,RC,1,0.002,14.1475,70.0575,210.173,0,0
HHCRSP_10_3_93_1.2_R_C,1.2_R_C,93,10,3,1.2,R,C,1,0.003,14.1846,46.0129,138.039,0,0
HHCRSP_10_3_65_1.6_C_RC,1.6_C_RC,65,10,3,1.6,C,RC,1,0.002,14.1816,38.0014,114.004,0,0
HHCRSP_10_3_64_1.6_R_RC,1.6_R_RC,64,10,3,1.6,R,RC,1,0.003,14.1797,57.0026,171.008,0,0
HHCRSP_10_3_59_1.2_C_RC,1.2_C_RC,59,10,3,1.2,C,RC,1,0.003,14.1514,44.4098,133.229,0,0
HHCRSP_10_3_53_1.0_R_RC,1.0_R_RC,53,10,3,1.0,R,RC,62,0.002,14.1885,57.0047,171.014,0,0
HHCRSP_10_3_66_1.0_C_C,1.0_C_C,66,10,3,1.0,C,C,1,0.002,14.1855,50.6958,152.087,0,0
HHCRSP_10_3_32_1.6_R_C,1.6_R_C,32,10,3,1.6,R,C,62,0.002,14.1729,50.3426,151.028,0,0
HHCRSP_10_3_11_1.6_R_RC,1.6_R_RC,11,10,3,1.6,R,RC,1,0.002,14.1836,48.6667,146,0,0
HHCRSP_10_3_37_1.0_R_C,1.0_R_C,37,10,3,1.0,R,C,1,0.002,14.166,32.0201,96.0604,0,0
HHCRSP_10_3_62_0.8_C_C,0.8_C_C,62,10,3,0.8,C,C,62,0.002,14.1758,68.0255,204.076,0,0
HHCRSP_10_3_10_1.6_C_RC,1.6_C_RC,10,10,3,1.6,C,RC,62,0.003,14.1689,63.3448,190.034,0,0
HHCRSP_10_3_39_1.0_C_RC,1.0_C_RC,39,10,3,1.0,C,RC,1,0.004,14.1807,51.681,155.043,0,0
HHCRSP_10_3_68_1.6_C_C,1.6_C_C,68,10,3,1.6,C,C,1,0.003,14.1621,42.6836,128.051,0,0
HHCRSP_10_3_26_1.0_C_C,1.0_C_C,26,10,3,1.0,C,C,1,0.002,14.1777,33.3547,100.064,0,0
HHCRSP_10_3_73_1.0_R_R,1.0_R_R,73,10,3,1.0,R,R,1,0.002,14.1807,56.0668,168.2,0,0
HHCRSP_10_3_59_1.2_R_C,1.2_R_C,59,10,3,1.2,R,C,1,0.002,14.1523,40.0415,120.125,0,0
HHCRSP_10_3_85_0.4_R_C,0.4_R_C,85,10,3,0.4,R,C,1,0.002,14.165,39.384,118.152,0,0
HHCRSP_10_3_69_0.8_C_RC,0.8_C_RC,69,10,3,0.8,C,RC,1,0.002,14.1641,61.6834,185.05,0,0
HHCRSP_10_3_94_1.0_C_RC,1.0_C_RC,94,10,3,1.0,C,RC,1,0.003,14.1543,53.4066,160.22,0,0
HHCRSP_10_3_57_1.2_R_RC,1.2_R_RC,57,10,3,1.2,R,RC,62,0.002,14.165,49.0252,147.076,0,0
